,week,position,name,analyst,error
49,2,K,Joshua Karty,overall_rank_error,
50,2,K,Greg Zuerlein,overall_rank_error,
51,2,K,Dustin Hopkins,overall_rank_error,
52,2,K,Matt Prater,overall_rank_error,
53,2,K,Daniel Carlson,overall_rank_error,
54,2,K,Cam Little,overall_rank_error,
55,2,K,Will Reichard,overall_rank_error,
56,2,K,Wil Lutz,overall_rank_error,
57,2,K,Nick Folk,overall_rank_error,
58,2,K,Eddy Pineiro,overall_rank_error,
59,2,K,Brayden Narveson,overall_rank_error,
60,3,K,Harrison Butker,overall_rank_error,1.0
61,3,K,Jake Moody,overall_rank_error,13.0
62,3,K,Brandon Aubrey,overall_rank_error,4.0
63,3,K,Ka'imi Fairbairn,overall_rank_error,25.0
64,3,K,Justin Tucker,overall_rank_error,15.0
65,3,K,Evan McPherson,overall_rank_error,2.0
66,3,K,Jake Elliott,overall_rank_error,22.0
67,3,K,Blake Grupe,overall_rank_error,7.0
68,3,K,Daniel Carlson,overall_rank_error,17.0
69,3,K,Cameron Dicker,overall_rank_error,10.0
70,3,K,Tyler Bass,overall_rank_error,6.0
71,3,K,Younghoe Koo,overall_rank_error,2.0
72,3,K,Chase McLaughlin,overall_rank_error,
73,3,K,Jake Bates,overall_rank_error,
74,3,K,Cairo Santos,overall_rank_error,
75,3,K,Jason Myers,overall_rank_error,
76,3,K,Dustin Hopkins,overall_rank_error,
77,3,K,Chris Boswell,overall_rank_error,
78,3,K,Matt Prater,overall_rank_error,
79,3,K,Greg Zuerlein,overall_rank_error,
80,3,K,Jason Sanders,overall_rank_error,
81,3,K,Will Reichard,overall_rank_error,
82,3,K,Brayden Narveson,overall_rank_error,
83,3,K,Cam Little,overall_rank_error,
84,3,K,Joshua Karty,overall_rank_error,
85,3,K,Wil Lutz,overall_rank_error,
86,3,K,Matt Gay,overall_rank_error,
87,3,K,Austin Seibert,overall_rank_error,
88,3,K,Eddy Pineiro,overall_rank_error,
89,3,K,Joey Slye,overall_rank_error,
90,3,K,Nick Folk,overall_rank_error,
91,4,K,Brandon Aubrey,overall_rank_error,6.0
92,4,K,Ka'imi Fairbairn,overall_rank_error,19.0
93,4,K,Harrison Butker,overall_rank_error,23.0
94,4,K,Jake Moody,overall_rank_error,1.0
95,4,K,Evan McPherson,overall_rank_error,0.0
96,4,K,Matt Prater,overall_rank_error,25.0
97,4,K,Justin Tucker,overall_rank_error,19.0
98,4,K,Younghoe Koo,overall_rank_error,6.0
99,4,K,Blake Grupe,overall_rank_error,8.0
100,4,K,Chase McLaughlin,overall_rank_error,3.0
101,4,K,Chris Boswell,overall_rank_error,5.0
102,4,K,Jason Myers,overall_rank_error,17.0
103,4,K,Tyler Bass,overall_rank_error,
104,4,K,Jake Elliott,overall_rank_error,
105,4,K,Jake Bates,overall_rank_error,
106,4,K,Dustin Hopkins,overall_rank_error,
107,4,K,Cairo Santos,overall_rank_error,
108,4,K,Daniel Carlson,overall_rank_error,
109,4,K,Will Reichard,overall_rank_error,
110,4,K,Brayden Narveson,overall_rank_error,
111,4,K,Cameron Dicker,overall_rank_error,
112,4,K,Greg Zuerlein,overall_rank_error,
113,4,K,Wil Lutz,overall_rank_error,
114,4,K,Austin Seibert,overall_rank_error,
115,4,K,Jason Sanders,overall_rank_error,
116,4,K,Cam Little,overall_rank_error,
117,4,K,Greg Joseph,overall_rank_error,
118,4,K,Eddy Pineiro,overall_rank_error,
119,4,K,Joshua Karty,overall_rank_error,
120,4,K,Nick Folk,overall_rank_error,
121,4,K,Joey Slye,overall_rank_error,
122,4,K,Matt Gay,overall_rank_error,
123,5,K,Brandon Aubrey,overall_rank_error,11.0
124,5,K,Harrison Butker,overall_rank_error,3.0
125,5,K,Ka'imi Fairbairn,overall_rank_error,1.0
126,5,K,Younghoe Koo,overall_rank_error,3.0
127,5,K,Justin Tucker,overall_rank_error,2.0
128,5,K,Jake Moody,overall_rank_error,11.0
129,5,K,Chase McLaughlin,overall_rank_error,5.0
130,5,K,Evan McPherson,overall_rank_error,16.0
131,5,K,Tyler Bass,overall_rank_error,8.0
132,5,K,Jason Myers,overall_rank_error,2.0
133,5,K,Cairo Santos,overall_rank_error,9.0
134,5,K,Chris Boswell,overall_rank_error,8.0
135,5,K,Dustin Hopkins,overall_rank_error,
136,5,K,Blake Grupe,overall_rank_error,
137,5,K,Austin Seibert,overall_rank_error,
138,5,K,Wil Lutz,overall_rank_error,
139,5,K,Will Reichard,overall_rank_error,
140,5,K,Matt Gay,overall_rank_error,
141,5,K,Greg Zuerlein,overall_rank_error,
142,5,K,Cam Little,overall_rank_error,
143,5,K,Brayden Narveson,overall_rank_error,
144,5,K,Daniel Carlson,overall_rank_error,
145,5,K,Eddy Pineiro,overall_rank_error,
146,5,K,Joshua Karty,overall_rank_error,
147,5,K,Joey Slye,overall_rank_error,
148,5,K,Chad Ryland,overall_rank_error,
149,5,K,Jason Sanders,overall_rank_error,
150,5,K,Greg Joseph,overall_rank_error,
151,6,K,Brandon Aubrey,overall_rank_error,5.0
152,6,K,Younghoe Koo,overall_rank_error,4.0
153,6,K,Ka'imi Fairbairn,overall_rank_error,3.0
154,6,K,Justin Tucker,overall_rank_error,0.0
155,6,K,Chase McLaughlin,overall_rank_error,9.0
156,6,K,Evan McPherson,overall_rank_error,15.0
157,6,K,Chris Boswell,overall_rank_error,5.0
158,6,K,Austin Seibert,overall_rank_error,5.0
159,6,K,Jake Elliott,overall_rank_error,3.0
160,6,K,Jason Myers,overall_rank_error,9.0
161,6,K,Tyler Bass,overall_rank_error,10.0
162,6,K,Cameron Dicker,overall_rank_error,6.0
163,6,K,Greg Joseph,overall_rank_error,
164,6,K,Cairo Santos,overall_rank_error,
165,6,K,Jake Bates,overall_rank_error,
166,6,K,Brayden Narveson,overall_rank_error,
167,6,K,Blake Grupe,overall_rank_error,
168,6,K,Matt Gay,overall_rank_error,
169,6,K,Wil Lutz,overall_rank_error,
170,6,K,Nick Folk,overall_rank_error,
171,6,K,Cam Little,overall_rank_error,
172,6,K,Eddy Pineiro,overall_rank_error,
173,6,K,Chad Ryland,overall_rank_error,
174,6,K,Matthew Wright,overall_rank_error,
175,6,K,Daniel Carlson,overall_rank_error,
176,6,K,Greg Zuerlein,overall_rank_error,
177,6,K,Dustin Hopkins,overall_rank_error,
178,6,K,Joey Slye,overall_rank_error,
179,7,K,Younghoe Koo,overall_rank_error,25.0
180,7,K,Justin Tucker,overall_rank_error,5.0
181,7,K,Ka'imi Fairbairn,overall_rank_error,5.0
182,7,K,Austin Seibert,overall_rank_error,1.0
183,7,K,Evan McPherson,overall_rank_error,19.0
184,7,K,Will Reichard,overall_rank_error,1.0
185,7,K,Chase McLaughlin,overall_rank_error,9.0
186,7,K,Harrison Butker,overall_rank_error,11.0
187,7,K,Jake Elliott,overall_rank_error,10.0
188,7,K,Cameron Dicker,overall_rank_error,9.0
189,7,K,Jake Bates,overall_rank_error,1.0
190,7,K,Jason Myers,overall_rank_error,4.0
191,7,K,Tyler Bass,overall_rank_error,
192,7,K,Matt Gay,overall_rank_error,
193,7,K,Blake Grupe,overall_rank_error,
194,7,K,Chris Boswell,overall_rank_error,
195,7,K,Wil Lutz,overall_rank_error,
196,7,K,Joshua Karty,overall_rank_error,
197,7,K,Jason Sanders,overall_rank_error,
198,7,K,Greg Joseph,overall_rank_error,
199,7,K,Dustin Hopkins,overall_rank_error,
200,7,K,Cam Little,overall_rank_error,
201,7,K,Brandon McManus,overall_rank_error,
202,7,K,Anders Carlson,overall_rank_error,
203,7,K,Eddy Pineiro,overall_rank_error,
204,7,K,Greg Zuerlein,overall_rank_error,
205,7,K,Nick Folk,overall_rank_error,
206,7,K,Daniel Carlson,overall_rank_error,
207,7,K,Joey Slye,overall_rank_error,
208,7,K,Chad Ryland,overall_rank_error,
209,8,K,Will Reichard,overall_rank_error,16.0
210,8,K,Justin Tucker,overall_rank_error,18.0
211,8,K,Ka'imi Fairbairn,overall_rank_error,6.0
212,8,K,Brandon Aubrey,overall_rank_error,19.0
213,8,K,Younghoe Koo,overall_rank_error,15.0
214,8,K,Harrison Butker,overall_rank_error,5.0
215,8,K,Austin Seibert,overall_rank_error,2.0
216,8,K,Evan McPherson,overall_rank_error,16.0
217,8,K,Chase McLaughlin,overall_rank_error,8.0
218,8,K,Wil Lutz,overall_rank_error,16.0
219,8,K,Cameron Dicker,overall_rank_error,4.0
220,8,K,Jake Bates,overall_rank_error,6.0
221,8,K,Chris Boswell,overall_rank_error,
222,8,K,Brandon McManus,overall_rank_error,
223,8,K,Jason Myers,overall_rank_error,
224,8,K,Jake Elliott,overall_rank_error,
225,8,K,Tyler Bass,overall_rank_error,
226,8,K,Cairo Santos,overall_rank_error,
227,8,K,Joshua Karty,overall_rank_error,
228,8,K,Matt Gay,overall_rank_error,
229,8,K,Jason Sanders,overall_rank_error,
230,8,K,Anders Carlson,overall_rank_error,
231,8,K,Chad Ryland,overall_rank_error,
232,8,K,Cam Little,overall_rank_error,
233,8,K,Daniel Carlson,overall_rank_error,
234,8,K,Blake Grupe,overall_rank_error,
235,8,K,Dustin Hopkins,overall_rank_error,
236,8,K,Joey Slye,overall_rank_error,
237,8,K,Greg Zuerlein,overall_rank_error,
238,8,K,Nick Folk,overall_rank_error,
239,8,K,Eddy Pineiro,overall_rank_error,
240,8,K,Greg Joseph,overall_rank_error,
241,9,K,Brandon Aubrey,overall_rank_error,7.0
242,9,K,Will Reichard,overall_rank_error,23.0
243,9,K,Younghoe Koo,overall_rank_error,22.0
244,9,K,Austin Seibert,overall_rank_error,4.0
245,9,K,Justin Tucker,overall_rank_error,0.0
246,9,K,Harrison Butker,overall_rank_error,8.0
247,9,K,Ka'imi Fairbairn,overall_rank_error,1.0
248,9,K,Cameron Dicker,overall_rank_error,17.0
249,9,K,Evan McPherson,overall_rank_error,6.0
250,9,K,Brandon McManus,overall_rank_error,8.0
251,9,K,Jake Elliott,overall_rank_error,10.0
252,9,K,Tyler Bass,overall_rank_error,11.0
253,9,K,Jake Bates,overall_rank_error,
254,9,K,Chase McLaughlin,overall_rank_error,
255,9,K,Jason Myers,overall_rank_error,
256,9,K,Blake Grupe,overall_rank_error,
257,9,K,Wil Lutz,overall_rank_error,
258,9,K,Cairo Santos,overall_rank_error,
259,9,K,Chad Ryland,overall_rank_error,
260,9,K,Jason Sanders,overall_rank_error,
261,9,K,Matt Gay,overall_rank_error,
262,9,K,Joshua Karty,overall_rank_error,
263,9,K,Dustin Hopkins,overall_rank_error,
264,9,K,Cam Little,overall_rank_error,
265,9,K,Daniel Carlson,overall_rank_error,
266,9,K,Joey Slye,overall_rank_error,
267,9,K,Riley Patterson,overall_rank_error,
268,9,K,Eddy Pineiro,overall_rank_error,
269,9,K,Nick Folk,overall_rank_error,
270,9,K,Jude McAtamney,overall_rank_error,
271,10,K,Younghoe Koo,overall_rank_error,20.0
272,10,K,Justin Tucker,overall_rank_error,23.0
273,10,K,Cameron Dicker,overall_rank_error,10.0
274,10,K,Tyler Bass,overall_rank_error,1.0
275,10,K,Chris Boswell,overall_rank_error,18.0
276,10,K,Harrison Butker,overall_rank_error,4.0
277,10,K,Ka'imi Fairbairn,overall_rank_error,4.0
278,10,K,Brandon Aubrey,overall_rank_error,9.0
279,10,K,Jake Elliott,overall_rank_error,1.0
280,10,K,Jake Bates,overall_rank_error,3.0
281,10,K,Jason Sanders,overall_rank_error,9.0
282,10,K,Evan McPherson,overall_rank_error,11.0
283,10,K,Jake Moody,overall_rank_error,
284,10,K,Joshua Karty,overall_rank_error,
285,10,K,Matt Gay,overall_rank_error,
286,10,K,Blake Grupe,overall_rank_error,
287,10,K,Chad Ryland,overall_rank_error,
288,10,K,Chase McLaughlin,overall_rank_error,
289,10,K,Wil Lutz,overall_rank_error,
290,10,K,Zane Gonzalez,overall_rank_error,
291,10,K,Cairo Santos,overall_rank_error,
292,10,K,Cam Little,overall_rank_error,
293,10,K,Joey Slye,overall_rank_error,
294,10,K,Nick Folk,overall_rank_error,
295,10,K,Spencer Shrader,overall_rank_error,
296,10,K,Eddy Pineiro,overall_rank_error,
297,11,K,Ka'imi Fairbairn,overall_rank_error,8.0
298,11,K,Jake Bates,overall_rank_error,1.0
299,11,K,Cameron Dicker,overall_rank_error,0.0
300,11,K,Chris Boswell,overall_rank_error,3.0
301,11,K,Justin Tucker,overall_rank_error,13.0
302,11,K,Jake Moody,overall_rank_error,16.0
303,11,K,Tyler Bass,overall_rank_error,11.0
304,11,K,Younghoe Koo,overall_rank_error,2.0
305,11,K,Jason Sanders,overall_rank_error,3.0
306,11,K,Jake Elliott,overall_rank_error,4.0
307,11,K,Brandon McManus,overall_rank_error,16.0
308,11,K,Wil Lutz,overall_rank_error,2.0
309,11,K,Joshua Karty,overall_rank_error,
310,11,K,Brandon Aubrey,overall_rank_error,
311,11,K,Evan McPherson,overall_rank_error,
312,11,K,Zane Gonzalez,overall_rank_error,
313,11,K,Blake Grupe,overall_rank_error,
314,11,K,Dustin Hopkins,overall_rank_error,
315,11,K,Matt Gay,overall_rank_error,
316,11,K,Jason Myers,overall_rank_error,
317,11,K,Spencer Shrader,overall_rank_error,
318,11,K,Cairo Santos,overall_rank_error,
319,11,K,Daniel Carlson,overall_rank_error,
320,11,K,Joey Slye,overall_rank_error,
321,11,K,Cam Little,overall_rank_error,
322,11,K,Anders Carlson,overall_rank_error,
323,11,K,Nick Folk,overall_rank_error,
324,12,K,Jake Bates,overall_rank_error,14.0
325,12,K,Ka'imi Fairbairn,overall_rank_error,9.0
326,12,K,Cameron Dicker,overall_rank_error,0.0
327,12,K,Jason Sanders,overall_rank_error,5.0
328,12,K,Wil Lutz,overall_rank_error,4.0
329,12,K,Justin Tucker,overall_rank_error,11.0
330,12,K,Chris Boswell,overall_rank_error,8.0
331,12,K,Chase McLaughlin,overall_rank_error,10.0
332,12,K,Jake Moody,overall_rank_error,13.0
333,12,K,Brandon Aubrey,overall_rank_error,1.0
334,12,K,Spencer Shrader,overall_rank_error,6.0
335,12,K,Jake Elliott,overall_rank_error,7.0
336,12,K,Chad Ryland,overall_rank_error,
337,12,K,Austin Seibert,overall_rank_error,
338,12,K,Brandon McManus,overall_rank_error,
339,12,K,Matt Gay,overall_rank_error,
340,12,K,Joshua Karty,overall_rank_error,
341,12,K,Jason Myers,overall_rank_error,
342,12,K,Joey Slye,overall_rank_error,
343,12,K,Daniel Carlson,overall_rank_error,
344,12,K,Dustin Hopkins,overall_rank_error,
345,12,K,Cairo Santos,overall_rank_error,
346,12,K,Graham Gano,overall_rank_error,
347,12,K,Nick Folk,overall_rank_error,
348,12,K,Eddy Pineiro,overall_rank_error,
349,13,K,Cameron Dicker,overall_rank_error,7.0
350,13,K,Jake Bates,overall_rank_error,6.0
351,13,K,Ka'imi Fairbairn,overall_rank_error,3.0
352,13,K,Chris Boswell,overall_rank_error,2.0
353,13,K,Chase McLaughlin,overall_rank_error,3.0
354,13,K,Brandon Aubrey,overall_rank_error,10.0
355,13,K,Wil Lutz,overall_rank_error,5.0
356,13,K,Justin Tucker,overall_rank_error,8.0
357,13,K,Jake Elliott,overall_rank_error,13.0
358,13,K,Tyler Bass,overall_rank_error,14.0
359,13,K,Brandon McManus,overall_rank_error,6.0
360,13,K,Jason Sanders,overall_rank_error,
361,13,K,Chad Ryland,overall_rank_error,
362,13,K,Younghoe Koo,overall_rank_error,
363,13,K,Joshua Karty,overall_rank_error,
364,13,K,Evan McPherson,overall_rank_error,
365,13,K,Jason Myers,overall_rank_error,
366,13,K,Matt Gay,overall_rank_error,
367,13,K,Zane Gonzalez,overall_rank_error,
368,13,K,Jake Moody,overall_rank_error,
369,13,K,Blake Grupe,overall_rank_error,
370,13,K,Matthew Wright,overall_rank_error,
371,13,K,Joey Slye,overall_rank_error,
372,13,K,Nick Folk,overall_rank_error,
373,13,K,Cairo Santos,overall_rank_error,
374,13,K,Dustin Hopkins,overall_rank_error,
375,13,K,Eddy Pineiro,overall_rank_error,
376,13,K,Daniel Carlson,overall_rank_error,
377,13,K,Cam Little,overall_rank_error,
378,13,K,Graham Gano,overall_rank_error,
379,1,K,Evan McPherson,Andy Behrens_error,20.0
380,1,K,Harrison Butker,Andy Behrens_error,15.0
381,1,K,Justin Tucker,Andy Behrens_error,15.0
382,1,K,Ka'imi Fairbairn,Andy Behrens_error,1.0
383,1,K,Jake Elliott,Andy Behrens_error,9.0
384,1,K,Tyler Bass,Andy Behrens_error,4.0
385,1,K,Brandon Aubrey,Andy Behrens_error,1.0
386,1,K,Jason Sanders,Andy Behrens_error,3.0
387,1,K,Younghoe Koo,Andy Behrens_error,17.0
388,1,K,Jake Moody,Andy Behrens_error,8.0
389,1,K,Cairo Santos,Andy Behrens_error,
390,1,K,Jason Myers,Andy Behrens_error,
391,1,K,Jake Bates,Andy Behrens_error,7.0
392,1,K,Cameron Dicker,Andy Behrens_error,
393,1,K,Blake Grupe,Andy Behrens_error,
394,1,K,Dustin Hopkins,Andy Behrens_error,
395,1,K,Chase McLaughlin,Andy Behrens_error,
396,1,K,Daniel Carlson,Andy Behrens_error,
397,1,K,Chris Boswell,Andy Behrens_error,
398,1,K,Greg Zuerlein,Andy Behrens_error,20.0
399,1,K,Joshua Karty,Andy Behrens_error,
400,1,K,Matt Prater,Andy Behrens_error,
401,1,K,Graham Gano,Andy Behrens_error,
402,1,K,Will Reichard,Andy Behrens_error,
403,1,K,Eddy Pineiro,Andy Behrens_error,
404,1,K,Cam Little,Andy Behrens_error,
405,1,K,Wil Lutz,Andy Behrens_error,
406,1,K,Joey Slye,Andy Behrens_error,
407,1,K,Brayden Narveson,Andy Behrens_error,
408,1,K,Nick Folk,Andy Behrens_error,
409,1,K,Spencer Shrader,Andy Behrens_error,
410,1,K,Cade York,Andy Behrens_error,
411,2,K,Justin Tucker,Andy Behrens_error,4.0
412,2,K,Harrison Butker,Andy Behrens_error,11.0
413,2,K,Brandon Aubrey,Andy Behrens_error,3.0
414,2,K,Ka'imi Fairbairn,Andy Behrens_error,2.0
415,2,K,Jake Elliott,Andy Behrens_error,16.0
416,2,K,Tyler Bass,Andy Behrens_error,11.0
417,2,K,Jake Moody,Andy Behrens_error,22.0
418,2,K,Jason Sanders,Andy Behrens_error,19.0
419,2,K,Evan McPherson,Andy Behrens_error,2.0
420,2,K,Chris Boswell,Andy Behrens_error,7.0
421,2,K,Younghoe Koo,Andy Behrens_error,
422,2,K,Cameron Dicker,Andy Behrens_error,3.0
423,2,K,Cairo Santos,Andy Behrens_error,1.0
424,2,K,Jake Bates,Andy Behrens_error,
425,2,K,Jason Myers,Andy Behrens_error,
426,2,K,Blake Grupe,Andy Behrens_error,
427,2,K,Chase McLaughlin,Andy Behrens_error,
428,2,K,Joshua Karty,Andy Behrens_error,
429,2,K,Greg Zuerlein,Andy Behrens_error,
430,2,K,Dustin Hopkins,Andy Behrens_error,
431,2,K,Matt Prater,Andy Behrens_error,
432,2,K,Daniel Carlson,Andy Behrens_error,
433,2,K,Cam Little,Andy Behrens_error,
434,2,K,Will Reichard,Andy Behrens_error,
435,2,K,Wil Lutz,Andy Behrens_error,
436,2,K,Nick Folk,Andy Behrens_error,
437,2,K,Eddy Pineiro,Andy Behrens_error,
438,2,K,Brayden Narveson,Andy Behrens_error,
439,3,K,Harrison Butker,Andy Behrens_error,0.0
440,3,K,Jake Moody,Andy Behrens_error,12.0
441,3,K,Brandon Aubrey,Andy Behrens_error,6.0
442,3,K,Ka'imi Fairbairn,Andy Behrens_error,25.0
443,3,K,Justin Tucker,Andy Behrens_error,14.0
444,3,K,Evan McPherson,Andy Behrens_error,1.0
445,3,K,Jake Elliott,Andy Behrens_error,21.0
446,3,K,Blake Grupe,Andy Behrens_error,10.0
447,3,K,Daniel Carlson,Andy Behrens_error,15.0
448,3,K,Cameron Dicker,Andy Behrens_error,13.0
449,3,K,Tyler Bass,Andy Behrens_error,
450,3,K,Younghoe Koo,Andy Behrens_error,4.0
451,3,K,Chase McLaughlin,Andy Behrens_error,
452,3,K,Jake Bates,Andy Behrens_error,14.0
453,3,K,Cairo Santos,Andy Behrens_error,
454,3,K,Jason Myers,Andy Behrens_error,
455,3,K,Dustin Hopkins,Andy Behrens_error,
456,3,K,Chris Boswell,Andy Behrens_error,
457,3,K,Matt Prater,Andy Behrens_error,
458,3,K,Greg Zuerlein,Andy Behrens_error,
459,3,K,Jason Sanders,Andy Behrens_error,
460,3,K,Will Reichard,Andy Behrens_error,
461,3,K,Brayden Narveson,Andy Behrens_error,
462,3,K,Cam Little,Andy Behrens_error,
463,3,K,Joshua Karty,Andy Behrens_error,
464,3,K,Wil Lutz,Andy Behrens_error,
465,3,K,Matt Gay,Andy Behrens_error,
466,3,K,Austin Seibert,Andy Behrens_error,
467,3,K,Eddy Pineiro,Andy Behrens_error,
468,3,K,Joey Slye,Andy Behrens_error,
469,3,K,Nick Folk,Andy Behrens_error,
470,4,K,Brandon Aubrey,Andy Behrens_error,6.0
471,4,K,Ka'imi Fairbairn,Andy Behrens_error,18.0
472,4,K,Harrison Butker,Andy Behrens_error,24.0
473,4,K,Jake Moody,Andy Behrens_error,0.0
474,4,K,Evan McPherson,Andy Behrens_error,1.0
475,4,K,Matt Prater,Andy Behrens_error,22.0
476,4,K,Justin Tucker,Andy Behrens_error,18.0
477,4,K,Younghoe Koo,Andy Behrens_error,5.0
478,4,K,Blake Grupe,Andy Behrens_error,11.0
479,4,K,Chase McLaughlin,Andy Behrens_error,3.0
480,4,K,Chris Boswell,Andy Behrens_error,5.0
481,4,K,Jason Myers,Andy Behrens_error,
482,4,K,Tyler Bass,Andy Behrens_error,
483,4,K,Jake Elliott,Andy Behrens_error,
484,4,K,Jake Bates,Andy Behrens_error,9.0
485,4,K,Dustin Hopkins,Andy Behrens_error,
486,4,K,Cairo Santos,Andy Behrens_error,
487,4,K,Daniel Carlson,Andy Behrens_error,
488,4,K,Will Reichard,Andy Behrens_error,
489,4,K,Brayden Narveson,Andy Behrens_error,
490,4,K,Cameron Dicker,Andy Behrens_error,
491,4,K,Greg Zuerlein,Andy Behrens_error,
492,4,K,Wil Lutz,Andy Behrens_error,
493,4,K,Austin Seibert,Andy Behrens_error,
494,4,K,Jason Sanders,Andy Behrens_error,
495,4,K,Cam Little,Andy Behrens_error,
496,4,K,Greg Joseph,Andy Behrens_error,
497,4,K,Eddy Pineiro,Andy Behrens_error,
498,4,K,Joshua Karty,Andy Behrens_error,
499,4,K,Nick Folk,Andy Behrens_error,
500,4,K,Joey Slye,Andy Behrens_error,
501,4,K,Matt Gay,Andy Behrens_error,
502,5,K,Brandon Aubrey,Andy Behrens_error,11.0
503,5,K,Harrison Butker,Andy Behrens_error,3.0
504,5,K,Ka'imi Fairbairn,Andy Behrens_error,1.0
505,5,K,Younghoe Koo,Andy Behrens_error,3.0
506,5,K,Justin Tucker,Andy Behrens_error,2.0
507,5,K,Jake Moody,Andy Behrens_error,10.0
508,5,K,Chase McLaughlin,Andy Behrens_error,4.0
509,5,K,Evan McPherson,Andy Behrens_error,16.0
510,5,K,Tyler Bass,Andy Behrens_error,8.0
511,5,K,Jason Myers,Andy Behrens_error,1.0
512,5,K,Cairo Santos,Andy Behrens_error,8.0
513,5,K,Chris Boswell,Andy Behrens_error,
514,5,K,Dustin Hopkins,Andy Behrens_error,
515,5,K,Blake Grupe,Andy Behrens_error,17.0
516,5,K,Austin Seibert,Andy Behrens_error,
517,5,K,Wil Lutz,Andy Behrens_error,
518,5,K,Will Reichard,Andy Behrens_error,
519,5,K,Matt Gay,Andy Behrens_error,
520,5,K,Greg Zuerlein,Andy Behrens_error,
521,5,K,Cam Little,Andy Behrens_error,
522,5,K,Brayden Narveson,Andy Behrens_error,
523,5,K,Daniel Carlson,Andy Behrens_error,
524,5,K,Eddy Pineiro,Andy Behrens_error,
525,5,K,Joshua Karty,Andy Behrens_error,
526,5,K,Joey Slye,Andy Behrens_error,
527,5,K,Chad Ryland,Andy Behrens_error,
528,5,K,Jason Sanders,Andy Behrens_error,
529,5,K,Greg Joseph,Andy Behrens_error,
530,6,K,Brandon Aubrey,Andy Behrens_error,5.0
531,6,K,Younghoe Koo,Andy Behrens_error,3.0
532,6,K,Ka'imi Fairbairn,Andy Behrens_error,4.0
533,6,K,Justin Tucker,Andy Behrens_error,0.0
534,6,K,Chase McLaughlin,Andy Behrens_error,9.0
535,6,K,Evan McPherson,Andy Behrens_error,15.0
536,6,K,Chris Boswell,Andy Behrens_error,9.0
537,6,K,Austin Seibert,Andy Behrens_error,4.0
538,6,K,Jake Elliott,Andy Behrens_error,2.0
539,6,K,Jason Myers,Andy Behrens_error,7.0
540,6,K,Tyler Bass,Andy Behrens_error,12.0
541,6,K,Cameron Dicker,Andy Behrens_error,2.0
542,6,K,Greg Joseph,Andy Behrens_error,
543,6,K,Cairo Santos,Andy Behrens_error,
544,6,K,Jake Bates,Andy Behrens_error,
545,6,K,Brayden Narveson,Andy Behrens_error,
546,6,K,Blake Grupe,Andy Behrens_error,
547,6,K,Matt Gay,Andy Behrens_error,
548,6,K,Wil Lutz,Andy Behrens_error,
549,6,K,Nick Folk,Andy Behrens_error,
550,6,K,Cam Little,Andy Behrens_error,
551,6,K,Eddy Pineiro,Andy Behrens_error,
552,6,K,Chad Ryland,Andy Behrens_error,
553,6,K,Matthew Wright,Andy Behrens_error,
554,6,K,Daniel Carlson,Andy Behrens_error,
